Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,457.1542739868164,3.52,69056,142.232,3.86,19300,100000,6481.51,12.08,158408
200000,843.8339233398438,7.44,119968,230.177,6.53,16848,200000,11079.9,20.62,294292
500000,2088.712692260742,14.00,295860,494.889,13.75,19092,500000,23227.3,42.84,751348
1000000,4246.656656265259,31.67,666160,1014.86,27.69,23692,1000000,48125.4,88.46,1807084
2000000,10110.767126083374,75.16,1196824,1943.11,68.76,24620,2000000,121946,219.01,3343336
4000000,18620.79906463623,129.72,2980184,3712,112.98,36072,4000000,200336,373.93,8016820
6000000,29993.520259857178,227.00,5519428,5794.65,194.98,41600,6000000,360284,679.13,14722140
8000000,40051.12886428833,280.45,5611752,8036.32,249.20,39588,8000000,451106,831.57,15593628
10000000,48994.590520858765,321.48,3895296,9172.4,302.69,36948,10000000,530092,949.64,10717484
