Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,951.2207508087158,6.38,205868,2213.08,9.04,145120,100000,12279.5,22.68,555496
200000,1803.6017417907715,13.19,209504,3080.88,15.19,164976,200000,23209.2,40.25,555232
500000,4497.516632080078,31.57,565576,4268.83,32.97,184352,500000,56760.3,98.40,1597128
1000000,9324.798107147217,59.59,1033944,6210.82,62.78,212444,1000000,115253,197.68,2972388
2000000,18704.9880027771,120.10,2439520,6736.38,118.62,174184,2000000,229882,400.02,7006148
4000000,37891.89147949219,240.32,3095392,8734.45,232.98,131796,4000000,466129,789.02,9006092
6000000,60243.417263031006,390.01,6316508,14364.9,363.61,199120,6000000,727710,1252.50,18394872
8000000,83056.62870407104,559.36,11466152,20819.3,486.10,259284,8000000,959617,1698.50,33703504
10000000,98178.96866798401,646.23,12553396,20267.4,563.55,172840,10000000,1.12858e+06,1981.84,36730112
