Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
5000,513.7486457824707,0.84,12016,583.756,1.26,17020,5000,525.838,1.24,3956
10000,1028.3455848693848,1.85,11920,1136.04,2.47,30496,10000,1056.21,2.50,4080
15000,1538.064956665039,2.71,11880,1714.9,3.73,43684,15000,1582.93,3.75,3880
20000,2013.2334232330322,3.57,11884,2290.45,4.97,57172,20000,2117.37,5.03,4100
25000,2603.1150817871094,4.46,12040,2890.86,6.28,70408,25000,2626.36,6.24,4104
30000,3106.077194213867,5.63,11840,3466.43,7.53,83796,30000,3161.46,7.50,4096
