Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
5000,944.019079208374,1.60,12252,41698.7,45.08,1473128,5000,27556.1,28.61,4132
10000,1892.3585414886475,3.50,12260,134233,141.33,2949184,10000,54901.2,57.02,4104
15000,2860.560655593872,5.31,12368,280064,290.91,4400096,15000,82937.6,86.12,4028
20000,3794.8198318481445,7.04,12332,477065,492.06,5885820,20000,109873,114.09,4240
25000,4715.228319168091,8.44,12148,737408,756.55,7337000,25000,138680,144.00,4256
30000,5674.341917037964,10.71,12300,1.04353e+06,1066.47,8692448,30000,165049,171.40,4132
