Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,956.3214778900146,6.31,96004,1293.71,8.34,97832,100000,12902.8,22.51,234616
200000,1787.5680923461914,13.29,351464,2396.74,14.09,133416,200000,22493.9,40.56,956664
500000,4662.308692932129,31.36,446208,4307.95,33.55,185284,500000,58378.2,99.40,1223520
1000000,9524.998426437378,63.42,1207716,4418.38,63.92,152328,1000000,121546,210.28,3542872
2000000,18835.997343063354,124.50,2792944,7951.11,121.32,209916,2000000,233002,410.52,8158104
4000000,39574.979066848755,255.81,3163756,11589.4,247.69,204636,4000000,485465,822.73,9240560
6000000,59008.75520706177,371.21,4443316,18387.4,356.22,231188,6000000,706711,1197.31,12708728
8000000,85464.70069885254,587.31,13309296,20601.4,518.64,261280,8000000,1.03314e+06,1842.83,39640680
10000000,98363.35444450378,631.05,10485020,19636.4,569.32,162120,10000000,1.14009e+06,1971.45,31280148
