Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,405.4222106933594,3.87,65112,116.574,3.53,16276,100000,5808.5,10.88,145768
200000,876.293420791626,7.26,129980,239.572,6.41,17684,200000,11049.9,20.18,310632
500000,2455.1541805267334,19.75,271244,596.084,18.13,21828,500000,31704.7,56.60,733884
1000000,4697.937488555908,34.65,361740,983.168,31.42,19044,1000000,56023,98.01,949808
2000000,9313.217878341675,64.89,1120712,1922.71,59.40,23024,2000000,103873,187.79,2887204
4000000,21106.35232925415,157.69,4298680,3854.27,141.03,37672,4000000,249688,474.22,11489432
6000000,30110.564708709717,217.48,4160792,5508.18,195.09,36908,6000000,341019,633.53,11542968
8000000,42885.79344749451,321.14,9136012,7331.26,268.74,52476,8000000,475772,925.84,25076708
10000000,49492.7453994751,339.64,6525428,9520.91,298.21,56308,10000000,522317,966.09,17808152
