Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
5000,511.9519233703613,0.84,11912,576.146,1.25,17104,5000,530.006,1.25,3828
10000,1011.5787982940674,1.84,11868,1141.32,2.52,30436,10000,1049.91,2.49,3980
15000,1525.6624221801758,2.64,11916,1714.58,3.72,43588,15000,1575.79,3.74,3772
20000,2006.439208984375,3.45,11940,2278.84,4.95,56944,20000,2090.44,4.95,3820
25000,2536.602020263672,4.34,11948,2870.4,6.23,70432,25000,2629.39,6.23,3984
30000,3038.9959812164307,5.45,11888,3426.23,7.44,83220,30000,3128.12,7.41,3816
