Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,413.3036136627197,3.37,61956,115.93,3.56,18300,100000,5850.98,10.96,139232
200000,878.3161640167236,7.56,128856,239.951,6.78,18356,200000,11537.7,21.17,320684
500000,2252.1157264709473,18.67,329400,584.054,16.42,20596,500000,28325.7,51.71,881252
1000000,4771.745920181274,34.72,541204,1025.33,33.57,23932,1000000,58637.8,105.18,1414632
2000000,8968.185186386108,60.80,687304,1851.21,57.11,23300,2000000,100575,177.48,1851948
4000000,20212.798357009888,143.41,2244768,3788.46,133.98,29356,4000000,244167,436.90,6077892
6000000,27362.409591674805,179.16,3687724,5353.31,156.77,36528,6000000,275147,507.11,9306964
8000000,44544.33822631836,324.21,5884424,7913.38,297.34,38328,8000000,534605,977.86,16291896
10000000,47543.551206588745,313.24,5871136,9127.71,272.16,53768,10000000,472260,877.24,15309356
