Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,358.0489158630371,1.70,68700,187.736,4.54,5520,100000,2699.57,6.18,54544
200000,809.3254566192627,4.22,123316,221.339,5.41,6680,200000,4792.4,10.87,104812
500000,2078.356981277466,10.09,279824,524.715,12.56,8280,500000,11468,26.15,251840
1000000,4152.525424957275,19.07,488424,976.024,23.67,8928,1000000,21487.3,48.04,460668
2000000,9640.406608581543,40.88,1072472,2075.03,56.75,13460,2000000,52671.7,117.00,1004160
4000000,16587.794542312622,69.47,2058780,3777.01,87.00,17044,4000000,79416.7,177.90,1834456
6000000,26149.285316467285,105.48,1977060,5886.27,138.22,16652,6000000,127660,280.51,1793288
8000000,35681.54168128967,143.93,2846352,8332.56,192.32,25712,8000000,175317,388.15,2578448
10000000,47941.410064697266,192.82,4365564,11128.9,262.56,26188,10000000,240242,531.32,4134428
