Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,856.2881946563721,3.18,92416,1865.79,6.69,57560,100000,4886.63,10.37,79280
200000,1586.1189365386963,6.80,168916,2367.3,10.57,61532,200000,8528.54,18.06,158968
500000,4258.991956710815,15.74,429368,4198.3,26.45,69596,500000,22958.1,48.56,419036
1000000,9282.001256942749,38.08,1186144,7652.3,56.82,81704,1000000,51510.1,109.66,1167972
2000000,18162.737369537354,73.81,2613740,18056.4,110.85,116920,2000000,97114.9,208.50,2538368
4000000,35952.051877975464,140.98,3922216,17387.4,202.64,85324,4000000,193372,412.24,3801940
6000000,57191.3583278656,257.71,11513508,46835.7,330.46,139408,6000000,297322,654.14,11170176
8000000,76045.00818252563,330.77,14325192,37820.3,401.78,105340,8000000,388578,850.42,14200196
10000000,93563.14516067505,359.55,10567716,88340.8,529.77,146980,10000000,469154,998.73,10090444
