Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,335.04700660705566,1.77,50620,103.311,2.27,5356,100000,1883.1,4.31,40152
200000,777.5528430938721,3.67,135404,218.263,4.70,7392,200000,4319.35,9.88,119068
500000,2012.0573043823242,9.13,266348,485.081,11.43,7628,500000,10411.1,23.37,239664
1000000,4005.6092739105225,18.70,492516,1018.29,21.54,9464,1000000,19672.6,43.84,428100
2000000,9200.964212417603,39.75,1178580,1912.17,53.60,11444,2000000,48984.2,110.31,1096936
4000000,17705.562591552734,76.06,2393088,4007.84,91.81,16888,4000000,83477.2,187.68,2074740
6000000,26750.022649765015,112.77,3385124,6263.44,141.32,26116,6000000,129805,291.61,3117492
8000000,37253.09896469116,154.23,4434288,8668.64,199.65,25556,8000000,181699,409.78,4276848
10000000,47913.734674453735,202.92,6772996,11537.9,251.48,43480,10000000,232065,523.50,6295056
