Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
5000,964.057207107544,1.63,12356,42037.9,45.45,1487124,5000,27740.7,28.81,4244
10000,1922.814130783081,3.52,12184,130870,137.87,2912476,10000,54321.4,56.41,4032
15000,2842.2763347625732,5.29,12236,273084,283.84,4390864,15000,82684.4,85.86,3960
20000,3787.8329753875732,6.45,12196,464593,479.12,5879564,20000,109824,114.06,4128
25000,4740.451335906982,8.66,12316,723370,742.16,7308156,25000,138162,143.48,4136
30000,5750.475168228149,10.64,12184,1.05559e+06,1078.99,8852560,30000,167190,173.63,4160
