Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,881.7732334136963,3.44,121928,1631.4,6.60,52180,100000,5043.57,10.84,108152
200000,1748.9283084869385,6.95,179420,3109.3,12.57,81620,200000,9684.96,20.51,164336
500000,4429.581642150879,18.98,545796,4762.44,28.36,85120,500000,24480.8,52.27,523828
1000000,9415.780067443848,38.11,1114380,11939.7,61.36,137272,1000000,51625.3,109.91,1078120
2000000,17876.415729522705,71.35,2549832,7935.33,98.99,58724,2000000,96144.5,206.21,2498156
4000000,38444.97752189636,159.02,5714808,32538.3,227.53,125968,4000000,206545,445.70,5603880
6000000,58380.69295883179,229.59,5749016,56431,349.00,156940,6000000,309780,657.96,5743392
8000000,79404.18148040771,338.73,13002984,62378,455.04,126904,8000000,416943,906.31,12617484
10000000,95774.22499656677,365.52,9089192,70629.7,536.41,109880,10000000,498943,1050.35,8972400
