Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,942.1393871307373,6.02,104212,2057.88,8.74,133560,100000,12176.7,21.41,257400
200000,1815.9852027893066,13.21,157304,2844.99,15.15,157752,200000,23566.9,40.39,407588
500000,4601.662635803223,31.08,417176,4306.11,33.96,185652,500000,59113,100.40,1137348
1000000,9637.42971420288,68.60,1815868,5606.77,65.99,200240,1000000,122134,218.64,5186808
2000000,18904.850482940674,120.90,1909608,6126.89,120.89,155384,2000000,235513,403.81,5549740
4000000,37754.45342063904,246.98,5379456,9176.87,222.60,144424,4000000,446773,784.83,15368624
6000000,57366.51086807251,362.11,6650784,14321.7,328.35,196184,6000000,656336,1142.34,18884828
8000000,81373.30532073975,541.48,10535704,14817.3,485.54,141152,8000000,985885,1726.39,31034180
10000000,101890.96713066101,640.33,11934300,24077.8,563.70,247068,10000000,1.12577e+06,1972.53,34167692
