Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,514.5454406738281,2.43,56712,101.897,2.23,5496,100000,1957.57,4.43,43332
200000,821.4292526245117,4.42,168396,245.784,5.27,7428,200000,4800.11,10.99,139276
500000,1906.82053565979,9.05,206892,481.333,11.08,7528,500000,10078.2,22.40,178776
1000000,4193.5083866119385,18.87,597888,1017.77,24.96,10008,1000000,22748.4,51.06,546404
2000000,8217.10753440857,38.76,1293976,1828.32,46.15,11532,2000000,41469.6,94.44,1181964
4000000,18738.397121429443,75.84,1415756,4179.29,105.97,13972,4000000,97356.9,214.40,1315324
6000000,28871.27447128296,123.46,4347156,6164.35,158.02,25144,6000000,147211,330.45,3919908
8000000,35382.9607963562,142.17,3508056,8597.79,185.46,26192,8000000,171209,377.75,3194484
10000000,47036.001682281494,198.54,5701656,10967.4,252.42,26636,10000000,230943,518.76,5162744
