Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
100000,877.4335384368896,3.34,148100,1719.88,6.54,54188,100000,4916.52,10.61,132524
200000,1727.1409034729004,7.37,178168,3485.35,13.00,90700,200000,9735.53,20.65,164588
500000,4458.667278289795,19.18,467920,4768.69,27.94,89620,500000,24065.6,51.07,441660
1000000,8570.18232345581,34.74,1124472,10857.6,54.89,126440,1000000,45950.9,98.23,1103136
2000000,17337.07904815674,70.53,2428612,11129.1,100.90,84324,2000000,95550.2,203.41,2274252
4000000,36869.3470954895,157.72,6375336,38991.7,222.37,140712,4000000,198270,430.12,6291460
6000000,55322.41702079773,211.88,5526932,57644.9,334.51,145132,6000000,291541,624.80,5322508
8000000,75856.52542114258,297.53,10044372,72647.5,424.34,161892,8000000,375107,805.21,9956600
10000000,97253.59797477722,413.88,16433952,51262.6,525.39,119172,10000000,500517,1100.30,16014840
