Operation Count,Operation Time Python,Overall Time Python,PMU Python,Operation Time LHF,Overall Time LHF,PMU LHF,Operation Count 2,Operation Time Naive,Overall Time Naive,PMU Naive
5000,944.3142414093018,1.59,12268,41447.8,44.81,1449504,5000,27020.2,28.06,4024
10000,1895.484209060669,3.50,12304,133708,140.70,2958892,10000,55542.9,57.68,3944
15000,2888.6725902557373,5.53,12244,272573,283.08,4386676,15000,83478.4,86.69,4256
20000,3803.865671157837,6.70,12184,471882,486.85,5887816,20000,110319,114.58,3968
25000,4727.1716594696045,8.51,12184,720999,740.00,7334128,25000,138402,143.72,4132
30000,5698.514938354492,10.64,12180,1.03134e+06,1054.47,8712228,30000,165966,172.40,4028
